catalog_A,catalog_B,radius_arcmin,N_A,N_B,A_matched_to_B,B_matched_to_A,frac_A_matched,frac_B_matched
camira_sdss_dr8,whl2012,5.0,71743,132684,48185,40865,0.6716334694674044,0.3079873986313346
redmapper_dr8,whl2012,5.0,26111,132684,30081,23761,1.1520432001838306,0.17907961773838593
camira_sdss_dr8,redmapper_dr8,5.0,71743,26111,20392,21301,0.2842367896519521,0.8157864501551071
madcows2,whl2012,5.0,22970,132684,8805,8959,0.38332607749238135,0.06752132887160471
camira_sdss_dr8,madcows2,5.0,71743,22970,6560,5610,0.09143749215951381,0.24423160644318676
madcows2,redmapper_dr8,5.0,22970,26111,3163,3909,0.13770134958641705,0.14970702002987246
act_dr5_mcmf,whl2012,5.0,6237,132684,2551,2029,0.4090107423440757,0.01529197190316843
abell_aco,whl2012,5.0,5524,132684,2148,1676,0.388848660391021,0.012631515480389497
act_dr5_mcmf,camira_sdss_dr8,5.0,6237,71743,1716,1636,0.2751322751322751,0.02280361847148851
act_dr5_mcmf,redmapper_dr8,5.0,6237,26111,1284,1276,0.20586820586820587,0.048868293056566196
abell_aco,camira_sdss_dr8,5.0,5524,71743,1214,1086,0.21976828385228095,0.015137365317870733
abell_aco,redmapper_dr8,5.0,5524,26111,1176,1121,0.21288921071687184,0.042932097583393974
hsc_camira_s16a,madcows2,5.0,1777,22970,1174,1050,0.6606640405177265,0.0457117979973879
hsc_camira_s16a,whl2012,5.0,1777,132684,1045,962,0.5880697805289814,0.007250309004853637
act_dr5_mcmf,madcows2,5.0,6237,22970,943,762,0.15119448452781786,0.03317370483239007
mcxc,whl2012,5.0,1743,132684,807,665,0.4629948364888124,0.005011907991920654
camira_sdss_dr8,hsc_camira_s16a,5.0,71743,1777,693,655,0.009659478973558396,0.3685987619583568
abell_aco,mcxc,5.0,5524,1743,659,697,0.11929761042722664,0.3998852553069421
planck_psz2,whl2012,5.0,1653,132684,642,507,0.38838475499092556,0.0038211087998552954
mcxc,planck_psz2,5.0,1743,1653,529,531,0.30349971313826735,0.32123411978221417
abell_aco,planck_psz2,5.0,5524,1653,479,517,0.08671252715423607,0.31276467029643074
hsc_camira_s16a,redmapper_dr8,5.0,1777,26111,466,519,0.2622397298818233,0.01987668032629926
camira_sdss_dr8,mcxc,5.0,71743,1743,465,492,0.006481468575331391,0.2822719449225473
mcxc,reflex70,5.0,1743,447,447,449,0.25645438898450945,1.0044742729306488
mcxc,redmapper_dr8,5.0,1743,26111,423,416,0.24268502581755594,0.01593198268928804
camira_sdss_dr8,planck_psz2,5.0,71743,1653,393,421,0.005477886344312337,0.25468844525105866
act_dr5_mcmf,planck_psz2,5.0,6237,1653,389,398,0.062369729036395705,0.24077434966727163
abell_aco,act_dr5_mcmf,5.0,5524,6237,383,401,0.06933381607530775,0.06429373096039763
act_dr5_mcmf,spt_sz,5.0,6237,677,372,375,0.059644059644059645,0.5539143279172821
mcxc,noras,5.0,1743,378,367,373,0.21055651176133103,0.9867724867724867
planck_psz2,redmapper_dr8,5.0,1653,26111,354,337,0.21415607985480944,0.012906437899735744
noras,whl2012,5.0,378,132684,300,238,0.7936507936507936,0.0017937354918452866
abell_aco,reflex70,5.0,5524,447,273,304,0.049420709630702386,0.680089485458613
act_dr5_mcmf,mcxc,5.0,6237,1743,260,260,0.04168670835337502,0.1491681009753299
whl2012,xcs_dr1,5.0,132684,503,247,290,0.0018615658255705285,0.5765407554671969
abell_aco,madcows2,5.0,5524,22970,218,178,0.03946415640839971,0.007749238136700044
planck_psz2,reflex70,5.0,1653,447,214,214,0.1294615849969752,0.47874720357941836
madcows,whl2012,5.0,1716,132684,194,228,0.11305361305361306,0.0017183684543727955
abell_aco,noras,5.0,5524,378,175,175,0.03167994207096307,0.46296296296296297
camira_sdss_dr8,noras,5.0,71743,378,172,186,0.0023974464407677406,0.49206349206349204
noras,redmapper_dr8,5.0,378,26111,169,163,0.4470899470899471,0.006242579755658535
noras,planck_psz2,5.0,378,1653,167,166,0.4417989417989418,0.10042347247428918
act_hilton_2018,whl2012,5.0,182,132684,163,132,0.8956043956043956,0.0009948448946368817
camira_sdss_dr8,xcs_dr1,5.0,71743,503,162,158,0.002258060019792872,0.31411530815109345
act_dr5_mcmf,act_hilton_2018,5.0,6237,182,157,157,0.025172358505691838,0.8626373626373627
camira_sdss_dr8,madcows,5.0,71743,1716,150,129,0.0020907963146230293,0.07517482517482517
madcows,madcows2,5.0,1716,22970,131,119,0.07634032634032634,0.005180670439703962
act_hilton_2018,madcows2,5.0,182,22970,131,103,0.7197802197802198,0.004484109708315194
redmapper_dr8,xcs_dr1,5.0,26111,503,124,114,0.004748956378537781,0.22664015904572565
act_dr5_mcmf,reflex70,5.0,6237,447,115,116,0.018438351771685103,0.2595078299776286
act_hilton_2018,camira_sdss_dr8,5.0,182,71743,112,107,0.6153846153846154,0.0014914347044310942
act_dr5_mcmf,hsc_camira_s16a,5.0,6237,1777,101,94,0.01619368286034953,0.05289814293753517
act_hilton_2018,redmapper_dr8,5.0,182,26111,93,93,0.510989010989011,0.0035617172839033356
planck_psz2,spt_sz,5.0,1653,677,92,93,0.05565638233514821,0.13737075332348597
mcxc,xcs_dr1,5.0,1743,503,84,82,0.04819277108433735,0.16302186878727634
act_dr5_mcmf,madcows,5.0,6237,1716,75,53,0.012025012025012025,0.030885780885780884
reflex70,whl2012,5.0,447,132684,67,56,0.14988814317673377,0.0004220554098459498
madcows2,mcxc,5.0,22970,1743,58,74,0.002525032651284284,0.042455536431440045
madcows2,xcs_dr1,5.0,22970,503,55,59,0.00239442751414889,0.1172962226640159
abell_aco,spt_sz,5.0,5524,677,55,55,0.00995655322230268,0.08124076809453472
madcows2,planck_psz2,5.0,22970,1653,53,64,0.002307357422725294,0.03871748336358137
act_dr5_mcmf,noras,5.0,6237,378,47,48,0.007535674202340869,0.12698412698412698
madcows,redmapper_dr8,5.0,1716,26111,44,64,0.02564102564102564,0.002451074259890468
abell_aco,hsc_camira_s16a,5.0,5524,1777,34,31,0.006154960173787111,0.017445132245357344
mcxc,spt_sz,5.0,1743,677,33,33,0.0189328743545611,0.04874446085672083
camira_sdss_dr8,reflex70,5.0,71743,447,30,32,0.0004181592629246059,0.07158836689038031
act_hilton_2018,planck_psz2,5.0,182,1653,30,30,0.16483516483516483,0.018148820326678767
reflex70,spt_sz,5.0,447,677,30,30,0.06711409395973154,0.04431314623338257
abell_aco,xcs_dr1,5.0,5524,503,30,28,0.005430847212165098,0.055666003976143144
act_dr5_mcmf,xcs_dr1,5.0,6237,503,29,29,0.004649671316337983,0.05765407554671968
redmapper_dr8,reflex70,5.0,26111,447,29,29,0.0011106430240128682,0.06487695749440715
hsc_camira_s16a,xcs_dr1,5.0,1777,503,23,24,0.012943162633652222,0.04771371769383698
madcows2,reflex70,5.0,22970,447,20,24,0.0008707009142359599,0.053691275167785234
act_hilton_2018,hsc_camira_s16a,5.0,182,1777,19,17,0.1043956043956044,0.009566685424873381
act_hilton_2018,mcxc,5.0,182,1743,18,18,0.0989010989010989,0.010327022375215147
abell_aco,act_hilton_2018,5.0,5524,182,16,16,0.002896451846488052,0.08791208791208792
planck_psz2,xcs_dr1,5.0,1653,503,13,13,0.007864488808227465,0.02584493041749503
spt_ecs,spt_sz,5.0,13,677,13,13,1.0,0.019202363367799114
madcows2,noras,5.0,22970,378,10,11,0.00043535045711797995,0.0291005291005291
noras,reflex70,5.0,378,447,10,10,0.026455026455026454,0.02237136465324385
act_hilton_2018,reflex70,5.0,182,447,8,8,0.04395604395604396,0.017897091722595078
act_hilton_2018,noras,5.0,182,378,7,7,0.038461538461538464,0.018518518518518517
abell_aco,madcows,5.0,5524,1716,6,6,0.0010861694424330196,0.0034965034965034965
hsc_camira_s16a,madcows,5.0,1777,1716,6,6,0.0033764772087788407,0.0034965034965034965
madcows,planck_psz2,5.0,1716,1653,5,9,0.002913752913752914,0.0054446460980036296
hsc_camira_s16a,mcxc,5.0,1777,1743,5,5,0.0028137310073157004,0.002868617326448652
noras,xcs_dr1,5.0,378,503,5,5,0.013227513227513227,0.009940357852882704
reflex70,xcs_dr1,5.0,447,503,5,5,0.011185682326621925,0.009940357852882704
act_hilton_2018,madcows,5.0,182,1716,5,3,0.027472527472527472,0.0017482517482517483
hsc_camira_s16a,planck_psz2,5.0,1777,1653,4,4,0.0022509848058525606,0.0024198427102238356
madcows,mcxc,5.0,1716,1743,3,5,0.0017482517482517483,0.002868617326448652
act_dr5_mcmf,spt_ecs,5.0,6237,13,3,3,0.000481000481000481,0.23076923076923078
act_hilton_2018,xcs_dr1,5.0,182,503,3,3,0.016483516483516484,0.005964214711729622
madcows,noras,5.0,1716,378,2,3,0.0011655011655011655,0.007936507936507936
hsc_camira_s16a,reflex70,5.0,1777,447,2,2,0.0011254924029262803,0.0044742729306487695
spt_sz,xcs_dr1,5.0,677,503,2,2,0.0029542097488921715,0.003976143141153081
hsc_camira_s16a,noras,5.0,1777,378,1,1,0.0005627462014631402,0.0026455026455026454
abell_aco,spt_ecs,5.0,5524,13,0,0,0.0,0.0
act_hilton_2018,spt_ecs,5.0,182,13,0,0,0.0,0.0
act_hilton_2018,spt_sz,5.0,182,677,0,0,0.0,0.0
camira_sdss_dr8,spt_ecs,5.0,71743,13,0,0,0.0,0.0
camira_sdss_dr8,spt_sz,5.0,71743,677,0,0,0.0,0.0
hsc_camira_s16a,spt_ecs,5.0,1777,13,0,0,0.0,0.0
hsc_camira_s16a,spt_sz,5.0,1777,677,0,0,0.0,0.0
madcows,reflex70,5.0,1716,447,0,0,0.0,0.0
madcows,spt_ecs,5.0,1716,13,0,0,0.0,0.0
madcows,spt_sz,5.0,1716,677,0,0,0.0,0.0
madcows,xcs_dr1,5.0,1716,503,0,0,0.0,0.0
madcows2,spt_ecs,5.0,22970,13,0,0,0.0,0.0
madcows2,spt_sz,5.0,22970,677,0,0,0.0,0.0
mcxc,spt_ecs,5.0,1743,13,0,0,0.0,0.0
noras,spt_ecs,5.0,378,13,0,0,0.0,0.0
noras,spt_sz,5.0,378,677,0,0,0.0,0.0
planck_psz2,spt_ecs,5.0,1653,13,0,0,0.0,0.0
redmapper_dr8,spt_ecs,5.0,26111,13,0,0,0.0,0.0
redmapper_dr8,spt_sz,5.0,26111,677,0,0,0.0,0.0
reflex70,spt_ecs,5.0,447,13,0,0,0.0,0.0
spt_ecs,whl2012,5.0,13,132684,0,0,0.0,0.0
spt_ecs,xcs_dr1,5.0,13,503,0,0,0.0,0.0
spt_sz,whl2012,5.0,677,132684,0,0,0.0,0.0
