catalog,vizier_source,vizier_table,recno,RCS,RAJ2000,DEJ2000,z,n_z,F814W,Arc,Simbad,NED,RA_deg,Dec_deg
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,1,022403-0227.7,02 24 03.4,-02 27 52.1,0.314,l,1e+20,,Simbad,NED,36.01416666666666,-2.4644722222222226
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,2,035139-0956.4,03 51 39.5,-09 56 32.6,0.334,l,17.3,,Simbad,NED,57.914583333333326,-9.942388888888889
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,3,044406-2820.5,04 44 06.4,-28 20 37.9,0.437,l,18.0,,Simbad,NED,71.02666666666666,-28.34386111111111
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,4,051536-4325.5,05 15 37.0,-43 25 31.1,0.44,l,18.3,,Simbad,NED,78.90416666666665,-43.42530555555555
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,5,051834-4325.1,05 18 35.2,-43 25 15.0,0.475,l,18.6,,Simbad,NED,79.64666666666666,-43.420833333333334
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,6,092821+3646.5,09 28 22.3,+36 46 31.9,0.356,l,18.2,,Simbad,NED,142.09291666666667,36.775527777777775
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,7,110233-0319.2,11 02 33.5,-03 19 19.3,0.423,l,17.6,,Simbad,NED,165.6395833333333,-3.3220277777777776
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,8,110258-0521.2,11 02 59.2,-05 21 13.9,0.395,l,18.4,,Simbad,NED,165.74666666666664,-5.353861111111111
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,9,110340-0458.1,11 03 40.7,-04 58 12.0,0.492,l,19.3,,Simbad,NED,165.91958333333332,-4.97
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,10,131912-0206.9,13 19 12.7,-02 06 59.7,0.354,l,1e+20,,Simbad,NED,199.80291666666665,-2.1165833333333333
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,11,145226+0834.6,14 52 27.3,+08 34 36.7,0.325,l,18.1,,Simbad,NED,223.11374999999998,8.57686111111111
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,12,145900.4+102336,14 59 00.8,+10 23 34.5,0.395,l,18.4,,Simbad,NED,224.7533333333333,10.392916666666666
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,13,151110.7+100203,15 11 11.1,+10 02 05.9,0.455,l,18.1,,Simbad,NED,227.79624999999996,10.034972222222223
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,14,151306.9+061124,15 13 06.5,+06 11 24.8,0.325,l,16.4,,Simbad,NED,228.2770833333333,6.190222222222222
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,15,211519-6309.5,21 15 20.3,-63 09 31.0,0.331,l,17.6,,Simbad,NED,318.8345833333333,-63.15861111111111
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,16,212134-6335.8,21 21 35.0,-63 35 50.9,0.351,l,17.2,*,Simbad,NED,320.3958333333333,-63.59747222222222
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,17,215609.1+012319,21 56 09.3,+01 23 23.1,0.335,l,16.9,*,Simbad,NED,329.03875,1.38975
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,18,223952-6044.8,22 39 52.8,-60 44 53.6,0.429,l,18.7,,Simbad,NED,339.9699999999999,-60.748222222222225
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,19,033414-2824.6,03 34 14.5,-28 24 34.5,0.668,m,1e+20,,Simbad,NED,53.56041666666666,-28.40958333333333
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,20,035027-0855.1,03 50 27.4,-08 55 13.5,0.584,m,19.0,,Simbad,NED,57.61416666666666,-8.920416666666666
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,21,044207-2815.0,04 42 08.1,-28 15 11.3,0.522,m,18.9,*,Simbad,NED,70.53375,-28.253138888888888
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,22,051128-4235.2,05 11 27.8,-42 35 11.6,0.518,m,18.3,,Simbad,NED,77.86583333333333,-42.586555555555556
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,23,051855-4315.0,05 18 55.0,-43 15 00.9,0.544,m,19.0,,Simbad,NED,79.72916666666666,-43.25025
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,24,051919-4247.8,05 19 19.8,-42 47 49.2,0.603,m,19.9,,Simbad,NED,79.83249999999998,-42.797
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,25,110104-0351.3,11 01 04.7,-03 51 21.3,0.639,m,1e+20,,Simbad,NED,165.26958333333332,-3.855916666666667
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,26,110733-0520.6,11 07 33.5,-05 20 39.4,0.597,m,18.7,,Simbad,NED,166.88958333333332,-5.344277777777777
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,27,110752-0516.5,11 07 53.0,-05 16 35.0,0.579,m,19.4,,Simbad,NED,166.9708333333333,-5.276388888888889
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,28,110814-0430.8,11 08 14.5,-04 30 53.9,0.638,m,1e+20,,Simbad,NED,167.06041666666664,-4.514972222222222
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,29,131722-0201.4,13 17 22.8,-02 01 28.8,0.535,m,18.2,*,Simbad,NED,199.34499999999997,-2.0246666666666666
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,30,132335+3022.6,13 23 35.5,+30 22 43.7,0.538,m,18.1,*,Simbad,NED,200.89791666666662,30.378805555555555
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,31,141910+5326.1,14 19 10.3,+53 26 07.5,0.647,m,19.4,,Simbad,NED,214.79291666666663,53.43541666666666
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,32,151840.1+084500,15 18 40.3,+08 45 05.0,0.515,m,18.7,*,Simbad,NED,229.66791666666663,8.751388888888888
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,33,161547+3057.3,16 15 47.5,+30 57 14.1,0.514,m,18.8,,Simbad,NED,243.94791666666663,30.953916666666665
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,34,215223-0503.8,21 52 23.2,-05 03 44.2,0.545,m,18.7,,Simbad,NED,328.09666666666664,-5.062277777777777
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,35,231654-0011.1,23 16 54.8,-00 11 06.8,0.56,m,19.6,,Simbad,NED,349.22833333333324,-0.1852222222222222
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,36,234717-3634.4,23 47 17.4,-36 34 32.6,0.537,m,18.8,,Simbad,NED,356.8225,-36.575722222222225
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,37,022453-0316.7,02 24 53.6,-03 16 47.5,0.906,h,1e+20,,Simbad,NED,36.22333333333332,-3.279861111111111
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,38,025242.5-150024,02 52 42.7,-15 00 28.0,0.995,h,1e+20,,Simbad,NED,43.17791666666666,-15.007777777777777
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,39,043934-2904.6,04 39 34.2,-29 04 43.9,0.786,h,1e+20,,Simbad,NED,69.8925,-29.07886111111111
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,40,051940-4402.1,05 19 40.3,-44 02 13.8,0.913,h,1e+20,,Simbad,NED,79.91791666666666,-44.037166666666664
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,41,110439-0445.0,11 04 40.3,-04 45 03.2,0.715,h,1e+20,,Simbad,NED,166.16791666666663,-4.7508888888888885
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,42,110651-0350.3,11 06 52.2,-03 50 23.8,0.768,h,1e+20,,Simbad,NED,166.71749999999997,-3.8399444444444444
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,43,110723-0523.2,11 07 23.8,-05 23 16.1,0.794,h,1e+20,,Simbad,NED,166.84916666666666,-5.387805555555556
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,44,112225+2422.9,11 22 25.5,+24 22 51.3,0.799,h,1e+20,,Simbad,NED,170.60625,24.380916666666668
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,45,132939+2853.3,13 29 39.8,+28 53 14.3,0.901,h,1e+20,,Simbad,NED,202.4158333333333,28.887305555555557
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,46,145039+0840.7,14 50 40.2,+08 40 46.9,0.769,h,1e+20,,Simbad,NED,222.66749999999996,8.679694444444443
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,47,162009+2929.4,16 20 09.2,+29 29 33.8,0.797,h,1e+20,,Simbad,NED,245.0383333333333,29.492722222222223
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,48,211852-6334.6,21 18 52.6,-63 34 43.1,0.786,h,1e+20,,Simbad,NED,319.71916666666664,-63.57863888888889
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,49,212238-6146.1,21 22 38.3,-61 46 17.0,0.856,h,1e+20,,Simbad,NED,320.6595833333333,-61.771388888888886
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,50,215248-0609.4,21 52 49.2,-06 09 24.4,0.704,h,1e+20,,Simbad,NED,328.2049999999999,-6.156777777777778
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,51,231831+0034.3,23 18 31.8,+00 34 22.8,0.809,h,1e+20,,Simbad,NED,349.63249999999994,0.573
rcs2,J/MNRAS/406/1318/rcs,J/MNRAS/406/1318/rcs,52,234220-3534.3,23 42 20.4,-35 34 15.5,0.802,h,1e+20,,Simbad,NED,355.5849999999999,-35.570972222222224
